,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
193,"Positivo P36 Dual Sim 3G Tela 1,8",Positivo,"1,8",['128mb Ram'],['64mb'],['2'],299
194,Lg K52  Dual Chip Octa Core,Lg,Chip,[],['64gb'],['1'],1.199
195,"Xiaomi Redmi 9 Prime  4Gb Novo, Lacrado,",Xiaomi,4Gb,[],['128gb'],['1'],1.449
196,"Semp Tcl L7  2Gb Ram Android 5,5",Semp,Ram,['2gb Ram'],['32gb'],['1'],1.018
197,Celular Para Idoso Dual Chip Facil Utilizar Up,Semp,Facil,[],[],['1'],84
198,Xiaomi Redmi Note 9 Pro  6Gb,Xiaomi,Pro,['6gb Ram'],['128gb'],['1'],2.099
199,Xiaomi Redmi 9I  4Gb Ram Dual-Sim Global,Xiaomi,Ram,['4gb Ram'],['128gb'],['1'],1.270
200,Galaxy A10S,Xiaomi,Vermelho,['2 GB RAM'],['32 GB'],['1'],907
201,Redmi Note 8 Pro Dual Sim  Cinza-Mineral  R,Xiaomi,Cinza-Mineral,[],"['128 Gb', '6 Gb']",['2'],1.618
202,Do Idoso Letra Grande Sos Tela 5  Smart,Do,5,[],['32gb'],['1'],629
203,Multilaser E Lite Dual-Chip Android 8.1  Preto,Multilaser,Android,[],['32gb'],['1'],429
204,Se   Ouro,Multilaser,32,[],['32 GB'],['1'],1.599
205,2 Chips Teclado Grande Idoso Camera Mp3,2,Idoso,[],[],['1'],70
206,G8 Power,2,Preto-Titanium,['4 GB RAM'],['64 GB'],['2'],1.419
207,Redmi Note 9S Dual Sim  6Gb Blue,2,Gb,[],['128 Gb'],['2'],1.829
208,E6S    Rich,2,Cranberry,['4 GB RAM'],['64 GB'],['2'],1.039
209,Redmi 9A Dual Sim,2,Verde-Majestoso,['2 Gb Ram'],['32 Gb'],['2'],806
210,Redmi 9 (India)    Sky,2,Blue,['4 GB RAM'],['64 GB'],['2'],1.135
211,C,2,Preto-Brilhante,['1 GB RAM'],['16 GB'],['2'],588
212,"Multilaser Vita Idoso 3G 1,8 Fm Mp3 Base",Multilaser,Fm,[],[],['1'],229
213,Samsung Galaxy S10+ Tela 6.4  8Gb,Samsung,6.4,['8gb Ram'],['128gb'],['1'],4.499
214,Mi 10 Lite   Cosmic,Samsung,Gray,['6 GB RAM'],['64 GB'],['2'],2.439
215,Samsung Galaxy S10 Tela De 6.1  8Gb Ram,Samsung,128Gb,['8gb Ram'],['128gb'],['1'],2.799
216,Xiaomi Redmi 8A Azul-Oceano Dual Sim  3Gb,Xiaomi,Sim,['3gb Ram'],['64gb'],['2'],995
217,Samsung Galaxy A12 Tela 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.599
218,Samsung Galaxy A31 A315 Dual  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.537
219,Samsung Galaxy A01 Core Tela 5.3  2Gb,Samsung,5.3,['2gb Ram'],['32gb'],['1'],673
220,Samsung Galaxy A10S Tela De 6.2  2Gb,Samsung,6.2,['2gb Ram'],['32gb'],['1'],837
221,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
222,Redmi Note 8 Dual Sim  Neptune,Lg,Blue,['4 Gb Ram'],['64 Gb'],['2'],1.386
223,Samsung Galaxy A01 Dual Sim  Preto 2Gb,Samsung,32Gb,['2gb Ram'],['32gb'],['2'],739
224,Poco X3 Nfc Dual Sim  Cobalt,Samsung,Blue,['6 Gb Ram'],['64 Gb'],['2'],1.657
225,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
226,3 Obabox O Novo Smartphone Para A 3º Idade,Samsung,A,[],[],['1'],997
227,Redmi Note 8 Pro Dual Sim,Samsung,Gb,[],"['128 Gb', '6 Gb']",['2'],1.719
228,3 Obabox O Novo Smartphone Para A 3º Idade,Samsung,A,[],[],['1'],997
229,"Lg K61 Tela 6,53  4Gb Ram Android",Lg,4Gb,['4gb Ram'],['128gb'],['1'],1.250
230,"Nokia C2 Nk010 Tl 5,7  (16+16 Cartão) 1Gb",Nokia,(16+16,['1gb Ram'],['32gb'],['1'],639
231,Redmi 9  4Ram Global Nf+Capa+Pelicula Envio,Nokia,Global,[],['64gb'],['1'],1.190
232,Samsung Galaxy A21S Dual Sim  Preto +,Samsung,Preto,['4 Gb Ram'],['64 Gb'],['2'],1.449
233,12 Pro Max,Samsung,Max,[],['256 GB'],['1'],9.999
234,"7 Plus  Tela 5,5 Vitrine 4K Promoção",Samsung,Vitrine,[],['32 Gb'],['1'],1.999
235,Redmi 9T  4G Ram - Versão,Samsung,Ram,[],['128gb'],['1'],1.529
236,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
237,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
238,Samsung Galaxy Note20 Ultra Tl 6.9,Samsung,6.9,['12gb Ram'],['256gb'],['1'],5.930
239,Twist 2 S512,Samsung,Preto,['1 GB RAM'],['16 GB'],['2'],452
240,Flip P50  32 Mb,Samsung,Preto,['32 MB RAM'],['32 MB'],['2'],219
241,Asha 302 256 Mb  Dark,Samsung,Gray,['128 MB RAM'],['256 MB'],['1'],269
242,G9 Power,Samsung,Verde-Pacífico,['4 GB RAM'],['128 GB'],['1'],1.775
243,P28  24 Mb,Samsung,Preto,['32 MB RAM'],['24 MB'],['2'],150
244,Redmi Note 9S Dual Sim  6Gb Blue,Samsung,Gb,[],['128 Gb'],['2'],1.829
245,K11+,Samsung,Preto,['2 GB RAM'],['32 GB'],['1'],749
246,G Max,Samsung,Preto,['1 GB RAM'],['32 GB'],['2'],622
247,Redmi 9 Dual Sim  Ocean,Samsung,Green,['4 Gb Ram'],['128 Gb'],['2'],1.269
248,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
249,Mi 10T Lite 5G 6Gb Ram  Versão,Flip,Ram,['6gb Ram'],['128gb'],['1'],3.166
250,8,Flip,8,[],['128 GB'],['1'],3.699
251,Samsung Galaxy A11  3G Tela 6.4 Vermelho+,Samsung,Tela,[],['64gb'],['1'],1.299
252,Redmi 9A Dual Sim,Samsung,Verde-Majestoso,['2 Gb Ram'],['32 Gb'],['2'],806
253,C,Samsung,Preto-Brilhante,['1 GB RAM'],['16 GB'],['2'],588
254,Samsung Galaxy A71 Tela 6.7  6Gb Ram -,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],2.899
255,Redmi 9 (India)    Sky,Samsung,Blue,['4 GB RAM'],['128 GB'],['2'],1.189
256,Samsung Galaxy M31 Câmera Quádrupla 64,Samsung,Câmera,[],[],['1'],2.623
257,Xs,Samsung,Xs,[],['512 GB'],['1'],5.829
258,Galaxy J2 Core,Samsung,Ouro,['1 GB RAM'],['8 GB'],['2'],798
259,S31,Samsung,Preto,['2 GB RAM'],['16 GB'],['1'],1.370
260,Moto G9 Play  4Gb Tela 6.5,Moto,4Gb,[],['64gb'],['1'],1.873
261,Samsung Galaxy S10E Tela 5.8  6Gb Ram -,Samsung,6Gb,['6gb Ram'],['128gb'],['1'],2.699
